,typeObject,date,weekday,listeningTracks
0,Podcast,2022-02-02,2,22.32316666666667
1,Podcast,2022-02-03,3,45.264633333333336
2,Podcast,2022-02-04,4,62.53045
3,Podcast,2022-02-05,5,90.71201666666666
4,Podcast,2022-02-07,0,28.368533333333335
5,Podcast,2022-02-08,1,131.78403333333333
6,Podcast,2022-02-10,3,63.1633
7,Podcast,2022-02-13,6,192.10973333333334
8,Podcast,2022-02-14,0,18.62366666666667
9,Podcast,2022-02-15,1,26.124499999999998
10,Podcast,2022-02-19,5,30.116833333333332
11,Podcast,2022-02-20,6,85.33921666666667
12,Podcast,2022-02-22,1,16.898533333333337
13,Podcast,2022-02-23,2,50.097
14,Podcast,2022-02-24,3,49.16853333333333
15,Podcast,2022-02-26,5,54.47391666666667
16,Podcast,2022-02-27,6,0.20951666666666666
17,Podcast,2022-02-28,0,4.39785
18,Podcast,2022-03-01,1,30.328166666666668
19,Podcast,2022-03-02,2,37.14406666666667
20,Podcast,2022-03-03,3,4.0609
21,Podcast,2022-03-06,6,73.48355
22,Podcast,2022-03-07,0,42.784333333333336
23,Podcast,2022-03-08,1,22.82513333333333
24,Podcast,2022-03-09,2,12.6961
25,Podcast,2022-03-10,3,2.3379333333333334
26,Podcast,2022-03-14,0,64.04605
27,Podcast,2022-03-15,1,106.05865
28,Podcast,2022-03-17,3,11.610349999999999
29,Podcast,2022-03-22,1,27.626700000000003
30,Podcast,2022-03-23,2,49.647166666666664
31,Podcast,2022-03-24,3,13.588716666666667
32,Podcast,2022-03-27,6,98.45609999999999
33,Podcast,2022-03-28,0,32.79883333333333
34,Podcast,2022-03-29,1,4.904816666666666
35,Podcast,2022-03-30,2,22.5777
36,Podcast,2022-03-31,3,161.1421
37,Podcast,2022-04-01,4,56.149683333333336
38,Podcast,2022-04-02,5,106.31715
39,Podcast,2022-04-05,1,78.19416666666666
40,Podcast,2022-04-06,2,31.224666666666668
41,Podcast,2022-04-10,6,126.65693333333333
42,Podcast,2022-04-11,0,16.883816666666668
43,Podcast,2022-04-17,6,95.507
44,Podcast,2022-04-19,1,32.51481666666666
45,Podcast,2022-04-20,2,64.45928333333333
46,Podcast,2022-04-21,3,8.805133333333334
47,Podcast,2022-04-22,4,5.138833333333333
